2020-04-17 14:30:01.347 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.350 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.350 [Thread-2] INFO  ServerWorker - New command PRINT_FIELD_DESCENDING_PRICE from /127.0.0.1:65309.
2020-04-17 14:30:01.350 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.350 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.351 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.351 [Thread-2] INFO  ServerWorker - New command CHECK from /127.0.0.1:65309.
2020-04-17 14:30:01.351 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.351 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.351 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.358 [Thread-2] INFO  ServerWorker - New command ADD from /127.0.0.1:65309.
2020-04-17 14:30:01.358 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.358 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.358 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.359 [Thread-2] INFO  ServerWorker - New command HELP from /127.0.0.1:65309.
2020-04-17 14:30:01.359 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.359 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.359 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.361 [Thread-2] INFO  ServerWorker - New command GROUP_COUNTING_BY_COORDINATES from /127.0.0.1:65309.
2020-04-17 14:30:01.361 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.362 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.362 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.363 [Thread-2] INFO  ServerWorker - New command HELP from /127.0.0.1:65309.
